prov_Gemcode,provcode,Gemcodel,provcodel
3,20,Appingedam,Groningen
5,20,Bedum,Groningen
7,20,Bellingwedde,Groningen
9,20,Ten Boer,Groningen
10,20,Delfzijl,Groningen
1651,20,Eemsmond,Groningen
14,20,Groningen,Groningen
15,20,Grootegast,Groningen
17,20,Haren,Groningen
18,20,Hoogezand-Sappemeer,Groningen
22,20,Leek,Groningen
24,20,Loppersum,Groningen
1663,20,De Marne,Groningen
25,20,Marum,Groningen
1987,20,Menterwolde,Groningen
1895,20,Oldambt,Groningen
765,20,Pekela,Groningen
40,20,Slochteren,Groningen
37,20,Stadskanaal,Groningen
47,20,Veendam,Groningen
48,20,Vlagtwedde,Groningen
53,20,Winsum,Groningen
56,20,Zuidhorn,Groningen
59,21,Achtkarspelen,Friesland
60,21,Ameland,Friesland
63,21,het Bildt,Friesland
1891,21,Dantumadiel,Friesland
58,21,Dongeradeel,Friesland
1722,21,Ferwerderadiel,Friesland
70,21,Franekeradeel,Friesland
1921,21,De Friese Meren,Friesland
72,21,Harlingen,Friesland
74,21,Heerenveen,Friesland
79,21,Kollumerland en Nieuwkruisland,Friesland
80,21,Leeuwarden,Friesland
81,21,Leeuwarderadeel,Friesland
140,21,Littenseradiel,Friesland
1908,21,Menameradiel,Friesland
85,21,Ooststellingwerf,Friesland
86,21,Opsterland,Friesland
88,21,Schiermonnikoog,Friesland
90,21,Smallingerland,Friesland
1900,21,Súdwest-Fryslân,Friesland
93,21,Terschelling,Friesland
737,21,Tytsjerksteradiel,Friesland
96,21,Vlieland,Friesland
98,21,Weststellingwerf,Friesland
1680,22,Aa en Hunze,Drenthe
106,22,Assen,Drenthe
1681,22,Borger-Odoorn,Drenthe
109,22,Coevorden,Drenthe
114,22,Emmen,Drenthe
118,22,Hoogeveen,Drenthe
119,22,Meppel,Drenthe
1731,22,Midden-Drenthe,Drenthe
1699,22,Noordenveld,Drenthe
1730,22,Tynaarlo,Drenthe
1701,22,Westerveld,Drenthe
1690,22,De Wolden,Drenthe
141,23,Almelo,Overijssel
147,23,Borne,Overijssel
148,23,Dalfsen,Overijssel
150,23,Deventer,Overijssel
1774,23,Dinkelland,Overijssel
153,23,Enschede,Overijssel
158,23,Haaksbergen,Overijssel
160,23,Hardenberg,Overijssel
163,23,Hellendoorn,Overijssel
164,23,Hengelo,Overijssel
1735,23,Hof van Twente,Overijssel
166,23,Kampen,Overijssel
168,23,Losser,Overijssel
173,23,Oldenzaal,Overijssel
1773,23,Olst-Wijhe,Overijssel
175,23,Ommen,Overijssel
177,23,Raalte,Overijssel
1742,23,Rijssen-Holten,Overijssel
180,23,Staphorst,Overijssel
1708,23,Steenwijkerland,Overijssel
183,23,Tubbergen,Overijssel
1700,23,Twenterand,Overijssel
189,23,Wierden,Overijssel
1896,23,Zwartewaterland,Overijssel
193,23,Zwolle,Overijssel
34,24,Almere,Flevoland
303,24,Dronten,Flevoland
995,24,Lelystad,Flevoland
171,24,Noordoostpolder,Flevoland
184,24,Urk,Flevoland
50,24,Zeewolde,Flevoland
197,25,Aalten,Gelderland
200,25,Apeldoorn,Gelderland
202,25,Arnhem,Gelderland
203,25,Barneveld,Gelderland
1859,25,Berkelland,Gelderland
209,25,Beuningen,Gelderland
1876,25,Bronckhorst,Gelderland
213,25,Brummen,Gelderland
214,25,Buren,Gelderland
216,25,Culemborg,Gelderland
221,25,Doesburg,Gelderland
222,25,Doetinchem,Gelderland
225,25,Druten,Gelderland
226,25,Duiven,Gelderland
228,25,Ede,Gelderland
230,25,Elburg,Gelderland
232,25,Epe,Gelderland
233,25,Ermelo,Gelderland
236,25,Geldermalsen,Gelderland
241,25,Groesbeek,Gelderland
243,25,Harderwijk,Gelderland
244,25,Hattem,Gelderland
246,25,Heerde,Gelderland
252,25,Heumen,Gelderland
733,25,Lingewaal,Gelderland
1705,25,Lingewaard,Gelderland
262,25,Lochem,Gelderland
263,25,Maasdriel,Gelderland
265,25,Millingen aan de Rijn,Gelderland
1955,25,Montferland,Gelderland
1740,25,Neder-Betuwe,Gelderland
304,25,Neerijnen,Gelderland
267,25,Nijkerk,Gelderland
268,25,Nijmegen,Gelderland
302,25,Nunspeet,Gelderland
269,25,Oldebroek,Gelderland
1586,25,Oost Gelre,Gelderland
1509,25,Oude IJsselstreek,Gelderland
1734,25,Overbetuwe,Gelderland
273,25,Putten,Gelderland
274,25,Renkum,Gelderland
275,25,Rheden,Gelderland
196,25,Rijnwaarden,Gelderland
277,25,Rozendaal,Gelderland
279,25,Scherpenzeel,Gelderland
281,25,Tiel,Gelderland
282,25,Ubbergen,Gelderland
285,25,Voorst,Gelderland
289,25,Wageningen,Gelderland
668,25,West Maas en Waal,Gelderland
293,25,Westervoort,Gelderland
296,25,Wijchen,Gelderland
294,25,Winterswijk,Gelderland
297,25,Zaltbommel,Gelderland
299,25,Zevenaar,Gelderland
301,25,Zutphen,Gelderland
307,26,Amersfoort,Utrecht
308,26,Baarn,Utrecht
310,26,De Bilt,Utrecht
312,26,Bunnik,Utrecht
313,26,Bunschoten,Utrecht
317,26,Eemnes,Utrecht
321,26,Houten,Utrecht
353,26,IJsselstein,Utrecht
327,26,Leusden,Utrecht
331,26,Lopik,Utrecht
335,26,Montfoort,Utrecht
356,26,Nieuwegein,Utrecht
589,26,Oudewater,Utrecht
339,26,Renswoude,Utrecht
340,26,Rhenen,Utrecht
736,26,De Ronde Venen,Utrecht
342,26,Soest,Utrecht
1904,26,Stichtse Vecht,Utrecht
344,26,Utrecht,Utrecht
1581,26,Utrechtse Heuvelrug,Utrecht
345,26,Veenendaal,Utrecht
620,26,Vianen,Utrecht
352,26,Wijk bij Duurstede,Utrecht
632,26,Woerden,Utrecht
351,26,Woudenberg,Utrecht
355,26,Zeist,Utrecht
358,27,Aalsmeer,Noord-Holland
361,27,Alkmaar,Noord-Holland
362,27,Amstelveen,Noord-Holland
363,27,Amsterdam,Noord-Holland
370,27,Beemster,Noord-Holland
373,27,Bergen (NH.),Noord-Holland
375,27,Beverwijk,Noord-Holland
376,27,Blaricum,Noord-Holland
377,27,Bloemendaal,Noord-Holland
381,27,Bussum,Noord-Holland
383,27,Castricum,Noord-Holland
384,27,Diemen,Noord-Holland
498,27,Drechterland,Noord-Holland
385,27,Edam-Volendam,Noord-Holland
388,27,Enkhuizen,Noord-Holland
365,27,Graft-De Rijp,Noord-Holland
392,27,Haarlem,Noord-Holland
393,27,Haarlemmerliede en Spaarnwoude,Noord-Holland
394,27,Haarlemmermeer,Noord-Holland
396,27,Heemskerk,Noord-Holland
397,27,Heemstede,Noord-Holland
398,27,Heerhugowaard,Noord-Holland
399,27,Heiloo,Noord-Holland
400,27,Den Helder,Noord-Holland
402,27,Hilversum,Noord-Holland
1911,27,Hollands Kroon,Noord-Holland
405,27,Hoorn,Noord-Holland
406,27,Huizen,Noord-Holland
1598,27,Koggenland,Noord-Holland
415,27,Landsmeer,Noord-Holland
416,27,Langedijk,Noord-Holland
417,27,Laren,Noord-Holland
420,27,Medemblik,Noord-Holland
424,27,Muiden,Noord-Holland
425,27,Naarden,Noord-Holland
431,27,Oostzaan,Noord-Holland
432,27,Opmeer,Noord-Holland
437,27,Ouder-Amstel,Noord-Holland
439,27,Purmerend,Noord-Holland
441,27,Schagen,Noord-Holland
458,27,Schermer,Noord-Holland
532,27,Stede Broec,Noord-Holland
448,27,Texel,Noord-Holland
450,27,Uitgeest,Noord-Holland
451,27,Uithoorn,Noord-Holland
453,27,Velsen,Noord-Holland
852,27,Waterland,Noord-Holland
457,27,Weesp,Noord-Holland
1696,27,Wijdemeren,Noord-Holland
880,27,Wormerland,Noord-Holland
479,27,Zaanstad,Noord-Holland
473,27,Zandvoort,Noord-Holland
478,27,Zeevang,Noord-Holland
482,28,Alblasserdam,Zuid-Holland
613,28,Albrandswaard,Zuid-Holland
484,28,Alphen aan den Rijn,Zuid-Holland
489,28,Barendrecht,Zuid-Holland
491,28,Bergambacht,Zuid-Holland
